Probeset ID,N34 David Gene Symbol,UniGene ID,Ensembl,Entrez Gene,Alignments,Chromosomal Location,Gene Title,II1374 4way Venn 1.125 Fold Filter n_total= 1374,II359 RF ONEvs Other3 on 12589n Cxsect Gini n=359
1405_i_at,CCL5,Hs.514821,ENSG00000161570 /// OTTHUMG00000132949,6352,chr17:34198526-34207330 (-) // 57.16 // q12,chr17q11.2-q12,chemokine (C-C motif) ligand 5,1,0
1552417_a_at,NEDD1,Hs.270084 /// Hs.743848,ENSG00000139350 /// OTTHUMG00000170604,121441,chr12:97301243-97346036 (+) // 97.48 // q23.1,chr12q23.1,"neural precursor cell expressed, developmentally down-regulated 1",1,0
1552553_a_at,NLRC4,Hs.574741,ENSG00000091106 /// OTTHUMG00000152107,58484,chr2:32449522-32490801 (-) // 98.88 // p22.3,chr2p22-p21,"NLR family, CARD domain containing 4",1,0
1552621_at,POLR2J2 /// POLR2J3 /// UPK3BL,Hs.656696 /// Hs.732239,ENSG00000168255 /// OTTHUMG00000150384,246721 /// 548644 /// 100134938,chr7:44052564-44058763 (-) // 45.02 // p13 /// chr7:102206816-102213019 (-) // 45.86 // q22.1,chr7q22.1,polymerase (RNA) II (DNA directed) polypeptide J2 /// polymerase (RNA) II (DNA directed) polypeptide J3 /// uroplakin 3B-like,1,0
1552627_a_at,ARHGAP5,Hs.592313 /// Hs.607635,ENSG00000100852 /// OTTHUMG00000170589,394,chr14:32545978-32624744 (+) // 98.04 // q12,chr14q12,Rho GTPase activating protein 5,1,0
1552633_at,ZNF101,Hs.631642 /// Hs.63187,ENSG00000181896 /// OTTHUMG00000167736,94039,chr19:19779604-20402358 (+) // 68.46 // p13.11,chr19p13.11,zinc finger protein 101,1,0
1552703_s_at,CARD16 /// CASP1,Hs.2490 /// Hs.348365,ENSG00000137752 /// ENSG00000204397 /// OTTHUMG00000048072 /// OTTHUMG00000166157,834 /// 114769,chr11:104912121-104915386 (-) // 94.36 // q22.3,chr11q23,"caspase recruitment domain family, member 16 /// caspase 1, apoptosis-related cysteine peptidase",1,0
1552787_at,HELB,Hs.505941,ENSG00000127311 /// OTTHUMG00000169006,92797,chr12:66696345-66731979 (+) // 99.88 // q14.3,chr12q14.3|12q,helicase (DNA) B,1,0
1552788_a_at,HELB,Hs.505941,ENSG00000127311 /// OTTHUMG00000169006,92797,chr12:66696345-66731979 (+) // 99.88 // q14.3,chr12q14.3|12q,helicase (DNA) B,1,0
1552867_at,zmym2,---,---,---,chr13:20618210-20619189 (+) // 14.18 // q12.11,---,---,1,0
1552978_a_at,SCAMP1,Hs.482587 /// Hs.602663 /// Hs.617993 /// Hs.622209,ENSG00000085365 /// OTTHUMG00000162479,9522,chr5:77656405-77771818 (+) // 96.94 // q14.1,chr5q14.1,secretory carrier membrane protein 1,1,0
1553142_at,LACC1,Hs.210586 /// Hs.596928 /// Hs.606761 /// Hs.609813 /// Hs.610276,ENSG00000179630 /// OTTHUMG00000016826,144811,chr13:44453968-44466349 (+) // 63.98 // q14.11,chr13q14.11,laccase (multicopper oxidoreductase) domain containing 1,1,0
1553185_at,RASEF,Hs.129136,ENSG00000165105 /// OTTHUMG00000020100,158158,chr9:85669997-85678092 (-) // 48.22 // q21.32,chr9q21.32,RAS and EF-hand domain containing,1,0
1553252_a_at,BRWD3,Hs.147027 /// Hs.600970,ENSG00000165288 /// OTTHUMG00000021908,254065,chrX:79932743-79975156 (-) // 98.23 // q21.1,chrXq21.1,bromodomain and WD repeat domain containing 3,1,1
1553265_at,SLC23A3,Hs.124565,ENSG00000213901 /// OTTHUMG00000154616,151295,chr2:220029299-220034779 (-) // 79.78 // q35,chr2q35,"solute carrier family 23 (nucleobase transporters), member 3",1,0
1553267_a_at,CNOT6L,Hs.531161 /// Hs.592519 /// Hs.598889 /// Hs.604563,ENSG00000138767 /// ENSG00000230183 /// OTTHUMG00000160832 /// OTTHUMG00000172614,246175,chr4:78647158-78740522 (-) // 99.94 // q21.1,chr4q13.3,"CCR4-NOT transcription complex, subunit 6-like",1,0
1553313_s_at,SLC5A3,Hs.302742 /// Hs.610123 /// Hs.613905 /// Hs.710454 /// Hs.710797,ENSG00000198743 /// OTTHUMG00000065821,6526,chr21:35467497-35469654 (+) // 99.95 // q22.11,chr21q22.12,"solute carrier family 5 (sodium/myo-inositol cotransporter), member 3",1,0
1553396_a_at,CCDC13,Hs.604182,ENSG00000244607 /// OTTHUMG00000133046,152206,chr3:42788285-42814745 (-) // 100.0 // p22.1,chr3p22.1,coiled-coil domain containing 13,1,0
1553575_at,ND6,---,ENSG00000198695,4541,chrM:14149-14674 (-) // 99.62 //,---,"NADH dehydrogenase, subunit 6 (complex I)",1,0
1553726_s_at,C6orf170,Hs.121396 /// Hs.612204 /// Hs.738569,ENSG00000146350 /// OTTHUMG00000015474,221322,chr6:121401354-121563396 (-) // 84.86 // q22.31,chr6q22.31,chromosome 6 open reading frame 170,1,0
1554057_at,ASH1L-AS1,Hs.568693 /// Hs.743830 /// Hs.745405,ENSG00000235919 /// OTTHUMG00000014012,645676,chr1:155531863-155534045 (+) // 88.46 // q22,chr1q22,ASH1L antisense RNA 1,1,0
1554152_a_at,OGDH,Hs.488181,ENSG00000105953 /// OTTHUMG00000155304,4967,chr7:44646193-44716194 (+) // 80.2 // p13,chr7p14-p13,oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide),1,0
1554250_s_at,TRIM73,Hs.733046,---,375593,chr7:75024244-75026574 (+) // 51.68 // q11.23 /// chr7:72438325-72440652 (-) // 51.57 // q11.23,chr7q11.23,tripartite motif containing 73,1,0
1554306_at,ITPKB,Hs.528087 /// Hs.743604,ENSG00000143772 /// OTTHUMG00000037582,3707,chr1:226894896-226927024 (-) // 87.75 // q42.12,chr1q42.13,inositol-trisphosphate 3-kinase B,1,1
1554442_at,BEST1,Hs.683115 /// Hs.712676,ENSG00000167995 /// OTTHUMG00000167469,7439,chr11:61717841-61731518 (+) // 91.33 // q12.3,chr11q13,bestrophin 1,1,0
1554478_a_at,HEATR3,Hs.715109 /// Hs.733027,ENSG00000155393 /// OTTHUMG00000133174,55027,chr16:50099915-50139373 (+) // 90.87 // q12.1,chr16q12.1,HEAT repeat containing 3,1,0
1554503_a_at,OSCAR,Hs.347655,ENSG00000170909 /// ENSG00000268121 /// ENSG00000268147 /// ENSG00000268371 /// ENSG00000268689 /// ENSG00000269127 /// ENSG00000269555 /// ENSG00000269665 /// ENSG00000269857 /// OTTHUMG00000064966,126014,chr19:54597934-54605994 (-) // 65.92 // q13.42,chr19q13.42,"osteoclast associated, immunoglobulin-like receptor",1,0
1554670_at,GGA1,Hs.499158 /// Hs.614497 /// Hs.656661,ENSG00000100083 /// OTTHUMG00000030985,26088,chr22:38004836-38014003 (+) // 55.58 // q13.1,chr22q13.31,"golgi-associated, gamma adaptin ear containing, ARF binding protein 1",1,0
1554769_at,ZNF785,Hs.513509 /// Hs.728389,ENSG00000197162 /// OTTHUMG00000176950,146540,chr16:30591993-30597010 (-) // 67.84 // p11.2,chr16p11.2,zinc finger protein 785,1,1
1554770_x_at,ZNF785,Hs.513509,---,146540,chr16:30591993-30597010 (-) // 67.84 // p11.2,chr16p11.2,zinc finger protein 785,1,0
1554899_s_at,FCER1G,Hs.433300,ENSG00000158869 /// OTTHUMG00000034343,2207,chr1:161185068-161190488 (+) // 48.71 // q23.3,chr1q23,"Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide",1,0
1554910_at,PRKD3,Hs.660757 /// Hs.716034,ENSG00000115825 /// OTTHUMG00000100961,23683,chr2:37494710-37544166 (-) // 87.08 // p22.2,chr2p21,protein kinase D3,1,0
1554948_at,---,---,---,---,chr1:143932661-143933815 (+) // 14.44 // q21.1,---,---,1,0
1554997_a_at,PTGS2,Hs.196384,ENSG00000073756 /// OTTHUMG00000035473,5743,chr1:186642025-186649519 (-) // 97.36 // q31.1,chr1q25.2-q25.3,prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase),1,0
1555116_s_at,SLC11A1,Hs.591607 /// Hs.627035,ENSG00000018280 /// OTTHUMG00000086747,6556,chr2:219247023-219253092 (+) // 68.5 // q35,chr2q35,"solute carrier family 11 (proton-coupled divalent metal ion transporters), member 1",1,0
1555167_s_at,NAMPT,Hs.489615 /// Hs.611739 /// Hs.611792 /// Hs.641730,ENSG00000105835 /// ENSG00000229644 /// OTTHUMG00000017964 /// OTTHUMG00000140388,10135,chr7:105901954-105925367 (-) // 96.7 // q22.3,chr7q22.3,nicotinamide phosphoribosyltransferase,1,1
1555199_at,GOSR1,Hs.462680 /// Hs.639214 /// Hs.715322,ENSG00000108587 /// OTTHUMG00000132796,9527,chr17:28808157-28814576 (+) // 77.31 // q11.2,chr17q11,golgi SNAP receptor complex member 1,1,0
1555317_at,POLK,Hs.135756 /// Hs.593188 /// Hs.593825 /// Hs.604847 /// Hs.732105,ENSG00000122008 /// OTTHUMG00000102107,51426,chr5:74842833-74878773 (+) // 65.79 // q13.3,chr5q13,polymerase (DNA directed) kappa,1,0
1555379_at,FAM159A,Hs.424589,ENSG00000182183 /// OTTHUMG00000008330,348378,chr1:53099065-53135337 (+) // 57.65 // p32.3,chr1p32.3,"family with sequence similarity 159, member A",1,0
1555594_a_at,MBNL1,Hs.201858 /// Hs.624516 /// Hs.708662,ENSG00000152601 /// OTTHUMG00000159163,4154,chr3:152017982-152177116 (+) // 99.91 // q25.1,chr3q25,muscleblind-like splicing regulator 1,1,0
